Gene1	Gene2	Protein1	Protein2
APOA1	FABP1	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I (Apolipoprotein A-I(1-242))]	Fatty acid-binding protein, liver (Fatty acid-binding protein 1) (Liver-type fatty acid-binding protein) (L-FABP)
APOBEC3A	CD300E	DNA dC->dU-editing enzyme APOBEC-3A (A3A) (EC 3.5.4.38) (Phorbolin-1)	CMRF35-like molecule 2 (CLM-2) (CD300 antigen-like family member E) (CMRF35-A5) (Immune receptor expressed on myeloid cells 2) (IREM-2) (Polymeric immunoglobulin receptor 2) (PIgR-2) (PIgR2) (Poly-Ig receptor 2) (CD antigen CD300e)
APOBEC3D	ZC3H4	DNA dC->dU-editing enzyme APOBEC-3D (A3D) (A3DE) (EC 3.5.4.38)	Zinc finger CCCH domain-containing protein 4
APOBR	NBPF14	Apolipoprotein B receptor (Apolipoprotein B-100 receptor) (Apolipoprotein B-48 receptor) (Apolipoprotein B48 receptor) (apoB-48R)	NBPF family member NBPF14 (Neuroblastoma breakpoint family member 14)
APOC3	FGB	Apolipoprotein C-III (Apo-CIII) (ApoC-III) (Apolipoprotein C3)	Fibrinogen beta chain [Cleaved into: Fibrinopeptide B; Fibrinogen beta chain]
APOH	F2	Beta-2-glycoprotein 1 (APC inhibitor) (Activated protein C-binding protein) (Anticardiolipin cofactor) (Apolipoprotein H) (Apo-H) (Beta-2-glycoprotein I) (B2GPI) (Beta(2)GPI)	Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain]
APOL6	PARP14	Apolipoprotein L6 (Apolipoprotein L-VI) (ApoL-VI)	Protein mono-ADP-ribosyltransferase PARP14 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 8) (ARTD8) (B aggressive lymphoma protein 2) (Poly [ADP-ribose] polymerase 14) (PARP-14)
APP	SPTBN1	Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31]	Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Fodrin beta chain) (Spectrin, non-erythroid beta chain 1)
APPL2	APPL2	DCC-interacting protein 13-beta (Dip13-beta) (Adapter protein containing PH domain, PTB domain and leucine zipper motif 2)	DCC-interacting protein 13-beta (Dip13-beta) (Adapter protein containing PH domain, PTB domain and leucine zipper motif 2)
AQP10	SPDYC	Aquaporin-10 (AQP-10) (Aquaglyceroporin-10) (Small intestine aquaporin)	Speedy protein C (Rapid inducer of G2/M progression in oocytes C) (RINGO C) (hSpy/Ringo C)
AQP6	SLC4A9	Aquaporin-6 (AQP-6) (Aquaporin-2-like) (Kidney-specific aquaporin) (hKID)	Anion exchange protein 4 (AE 4) (Anion exchanger 4) (Sodium bicarbonate cotransporter 5) (Solute carrier family 4 member 9)
AQP9	AQP9	Aquaporin-9 (AQP-9) (Aquaglyceroporin-9) (Small solute channel 1)	Aquaporin-9 (AQP-9) (Aquaglyceroporin-9) (Small solute channel 1)
AQR	PPIE	RNA helicase aquarius (EC 3.6.4.13) (Intron-binding protein of 160 kDa) (IBP160)	Peptidyl-prolyl cis-trans isomerase E (PPIase E) (EC 5.2.1.8) (Cyclophilin E) (Cyclophilin-33) (Rotamase E)
AR	KANK4	Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4)	KN motif and ankyrin repeat domain-containing protein 4 (Ankyrin repeat domain-containing protein 38)
ARC	ARC	Activity-regulated cytoskeleton-associated protein (hArc) (Activity-regulated gene 3.1 protein homolog) (ARC/ARG3.1) (Arg3.1)	Activity-regulated cytoskeleton-associated protein (hArc) (Activity-regulated gene 3.1 protein homolog) (ARC/ARG3.1) (Arg3.1)
AREG	EREG	Amphiregulin (AR) (Colorectum cell-derived growth factor) (CRDGF)	Proepiregulin [Cleaved into: Epiregulin (EPR)]
ARF1	TOMM20	ADP-ribosylation factor 1 (EC 3.6.5.2)	Mitochondrial import receptor subunit TOM20 homolog (Mitochondrial 20 kDa outer membrane protein) (Outer mitochondrial membrane receptor Tom20)
ARF4	MLF2	ADP-ribosylation factor 4	Myeloid leukemia factor 2 (Myelodysplasia-myeloid leukemia factor 2)
ARF6	MOB1A	ADP-ribosylation factor 6 (EC 3.6.5.2)	MOB kinase activator 1A (Mob1 alpha) (Mob1A) (Mob1 homolog 1B) (Mps one binder kinase activator-like 1B)
ARFGAP1	ARFGAP1	ADP-ribosylation factor GTPase-activating protein 1 (ARF GAP 1) (ADP-ribosylation factor 1 GTPase-activating protein) (ARF1 GAP) (ARF1-directed GTPase-activating protein)	ADP-ribosylation factor GTPase-activating protein 1 (ARF GAP 1) (ADP-ribosylation factor 1 GTPase-activating protein) (ARF1 GAP) (ARF1-directed GTPase-activating protein)
ARG2	SNAPC1	Arginase-2, mitochondrial (EC 3.5.3.1) (Arginase II) (Kidney-type arginase) (Non-hepatic arginase) (Type II arginase)	snRNA-activating protein complex subunit 1 (SNAPc subunit 1) (Proximal sequence element-binding transcription factor subunit gamma) (PSE-binding factor subunit gamma) (PTF subunit gamma) (Small nuclear RNA-activating complex polypeptide 1) (snRNA-activating protein complex 43 kDa subunit) (SNAPc 43 kDa subunit)
ARHGAP1	CNP	Rho GTPase-activating protein 1 (CDC42 GTPase-activating protein) (GTPase-activating protein rhoGAP) (Rho-related small GTPase protein activator) (Rho-type GTPase-activating protein 1) (p50-RhoGAP)	2',3'-cyclic-nucleotide 3'-phosphodiesterase (CNP) (CNPase) (EC 3.1.4.37)
ARHGAP10	ARHGAP10	Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (GRAF2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)	Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (GRAF2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)
ARHGAP17	PARP15	Rho GTPase-activating protein 17 (Rho-type GTPase-activating protein 17) (RhoGAP interacting with CIP4 homologs protein 1) (RICH-1)	Protein mono-ADP-ribosyltransferase PARP15 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 7) (ARTD7) (B-aggressive lymphoma protein 3) (Poly [ADP-ribose] polymerase 15) (PARP-15)
ARHGAP35	SPIRE1	Rho GTPase-activating protein 35 (Glucocorticoid receptor DNA-binding factor 1) (Glucocorticoid receptor repression factor 1) (GRF-1) (Rho GAP p190A) (p190-A)	Protein spire homolog 1 (Spir-1)
ARHGAP44	MAGI3	Rho GTPase-activating protein 44 (NPC-A-10) (Rho-type GTPase-activating protein RICH2) (RhoGAP interacting with CIP4 homologs protein 2) (RICH-2)	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3 (Membrane-associated guanylate kinase inverted 3) (MAGI-3)
ARHGAP9	KLHDC4	Rho GTPase-activating protein 9 (Rho-type GTPase-activating protein 9)	Kelch domain-containing protein 4
ARHGEF1	LIMD2	Rho guanine nucleotide exchange factor 1 (115 kDa guanine nucleotide exchange factor) (p115-RhoGEF) (p115RhoGEF) (Sub1.5)	LIM domain-containing protein 2
ARHGEF15	DLL4	Rho guanine nucleotide exchange factor 15 (Ephexin-5) (E5) (Vsm-RhoGEF)	Delta-like protein 4 (Drosophila Delta homolog 4) (Delta4)
ARHGEF37	MICALL1	Rho guanine nucleotide exchange factor 37	MICAL-like protein 1 (Molecule interacting with Rab13) (MIRab13)
ARHGEF38	ITGB6	Rho guanine nucleotide exchange factor 38	Integrin beta-6
ARHGEF7	FRYL	Rho guanine nucleotide exchange factor 7 (Beta-Pix) (COOL-1) (PAK-interacting exchange factor beta) (p85)	Protein furry homolog-like (ALL1-fused gene from chromosome 4p12 protein)
ARHGEF9	CSRNP3	Rho guanine nucleotide exchange factor 9 (Collybistin) (PEM-2 homolog) (Rac/Cdc42 guanine nucleotide exchange factor 9)	Cysteine/serine-rich nuclear protein 3 (CSRNP-3) (Protein FAM130A2) (TGF-beta-induced apoptosis protein 2) (TAIP-2)
ARL2BP	VPS4A	ADP-ribosylation factor-like protein 2-binding protein (ARF-like 2-binding protein) (ARL2-binding protein) (Binder of ARF2 protein 1)	Vacuolar protein sorting-associated protein 4A (EC 3.6.4.6) (Protein SKD2) (VPS4-1) (hVPS4)
ARL4D	SERTAD3	ADP-ribosylation factor-like protein 4D (ADP-ribosylation factor-like protein 4L)	SERTA domain-containing protein 3 (Replication protein-binding trans-activator) (RPA-binding trans-activator)
ARMC10	PDCD2	Armadillo repeat-containing protein 10 (Splicing variant involved in hepatocarcinogenesis protein)	Programmed cell death protein 2 (Zinc finger MYND domain-containing protein 7) (Zinc finger protein Rp-8)
ARMC3	LRRIQ1	Armadillo repeat-containing protein 3 (Beta-catenin-like protein) (Cancer/testis antigen 81) (CT81) (KU-CT-1)	Leucine-rich repeat- and IQ domain-containing protein 1
ARMC9	CCDC30	LisH domain-containing protein ARMC9 (Armadillo repeat-containing protein 9) (Melanoma/melanocyte-specific tumor antigen KU-MEL-1) (NS21)	Coiled-coil domain-containing protein 30 (Prefoldin subunit 6-like protein)
ARMCX1	TCEAL3	Armadillo repeat-containing X-linked protein 1 (ARM protein lost in epithelial cancers on chromosome X 1) (Protein ALEX1)	Transcription elongation factor A protein-like 3 (TCEA-like protein 3) (Transcription elongation factor S-II protein-like 3)
ARMCX2	GSTM2	Armadillo repeat-containing X-linked protein 2 (ARM protein lost in epithelial cancers on chromosome X 2) (Protein ALEX2)	Glutathione S-transferase Mu 2 (EC 2.5.1.18) (GST class-mu 2) (GSTM2-2)
ARPC1B	COTL1	Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC)	Coactosin-like protein
ARPC3	OAZ1	Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC)	Ornithine decarboxylase antizyme 1 (AZ1) (ODC-Az)
ARPC4	CAP1	Actin-related protein 2/3 complex subunit 4 (Arp2/3 complex 20 kDa subunit) (p20-ARC)	Adenylyl cyclase-associated protein 1 (CAP 1)
ARPIN	CEACAM4	Arpin (Arp2/3 inhibition protein)	Cell adhesion molecule CEACAM4 (Carcinoembryonic antigen CGM7) (Carcinoembryonic antigen-related cell adhesion molecule 4) (CEA cell adhesion molecule 4) (Non-specific cross-reacting antigen W236)
ARRDC5	FGD1	Arrestin domain-containing protein 5	FYVE, RhoGEF and PH domain-containing protein 1 (Faciogenital dysplasia 1 protein) (Rho/Rac guanine nucleotide exchange factor FGD1) (Rho/Rac GEF) (Zinc finger FYVE domain-containing protein 3)
ARSB	SLC2A9	Arylsulfatase B (ASB) (EC 3.1.6.12) (N-acetylgalactosamine-4-sulfatase) (G4S)	Solute carrier family 2, facilitated glucose transporter member 9 (Glucose transporter type 9) (GLUT-9) (Urate transporter)
ART4	ART4	Ecto-ADP-ribosyltransferase 4 (EC 2.4.2.31) (ADP-ribosyltransferase C2 and C3 toxin-like 4) (ARTC4) (Dombrock blood group carrier molecule) (Mono(ADP-ribosyl)transferase 4) (NAD(P)(+)--arginine ADP-ribosyltransferase 4) (CD antigen CD297)	Ecto-ADP-ribosyltransferase 4 (EC 2.4.2.31) (ADP-ribosyltransferase C2 and C3 toxin-like 4) (ARTC4) (Dombrock blood group carrier molecule) (Mono(ADP-ribosyl)transferase 4) (NAD(P)(+)--arginine ADP-ribosyltransferase 4) (CD antigen CD297)
ASB11	MYOM3	Ankyrin repeat and SOCS box protein 11 (ASB-11)	Myomesin-3 (Myomesin family member 3)
ASB14	PDP2	Ankyrin repeat and SOCS box protein 14 (ASB-14)	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial (PDP 2) (EC 3.1.3.43) (Pyruvate dehydrogenase phosphatase catalytic subunit 2) (PDPC 2)
ASB9	CA14	Ankyrin repeat and SOCS box protein 9 (ASB-9)	Carbonic anhydrase 14 (EC 4.2.1.1) (Carbonate dehydratase XIV) (Carbonic anhydrase XIV) (CA-XIV)
ASCC2	ASCC3	Activating signal cointegrator 1 complex subunit 2 (ASC-1 complex subunit p100) (Trip4 complex subunit p100)	Activating signal cointegrator 1 complex subunit 3 (EC 5.6.2.4) (ASC-1 complex subunit p200) (ASC1p200) (Helicase, ATP binding 1) (Trip4 complex subunit p200)
ASCL5	TSSK6	Achaete-scute homolog 5 (ASH-5) (hASH5) (Class A basic helix-loop-helix protein 47) (bHLHa47)	Testis-specific serine/threonine-protein kinase 6 (TSK-6) (TSSK-6) (Testis-specific kinase 6) (EC 2.7.11.1) (Cancer/testis antigen 72) (CT72) (Serine/threonine-protein kinase SSTK) (Small serine/threonine kinase)
ASGR1	FN1	Asialoglycoprotein receptor 1 (ASGP-R 1) (ASGPR 1) (C-type lectin domain family 4 member H1) (Hepatic lectin H1) (HL-1)	Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3]
ASRGL1	GMPR	Isoaspartyl peptidase/L-asparaginase (EC 3.4.19.5) (EC 3.5.1.1) (Asparaginase-like protein 1) (Beta-aspartyl-peptidase) (Isoaspartyl dipeptidase) (L-asparagine amidohydrolase) [Cleaved into: Isoaspartyl peptidase/L-asparaginase alpha chain; Isoaspartyl peptidase/L-asparaginase beta chain]	GMP reductase 1 (GMPR 1) (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase 1) (Guanosine monophosphate reductase 1)
ATF4	CREB1	Cyclic AMP-dependent transcription factor ATF-4 (cAMP-dependent transcription factor ATF-4) (Activating transcription factor 4) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (Tax-responsive enhancer element-binding protein 67) (TaxREB67)	Cyclic AMP-responsive element-binding protein 1 (CREB-1) (cAMP-responsive element-binding protein 1)
ATG12	ATG5	Ubiquitin-like protein ATG12 (Autophagy-related protein 12) (APG12-like)	Autophagy protein 5 (APG5-like) (Apoptosis-specific protein)
ATG4B	CDK10	Cysteine protease ATG4B (EC 3.4.22.-) (AUT-like 1 cysteine endopeptidase) (Autophagy-related cysteine endopeptidase 1) (Autophagin-1) (Autophagy-related protein 4 homolog B) (HsAPG4B) (hAPG4B)	Cyclin-dependent kinase 10 (EC 2.7.11.22) (Cell division protein kinase 10) (Serine/threonine-protein kinase PISSLRE)
ATG4D	TAL1	Cysteine protease ATG4D (EC 3.4.22.-) (AUT-like 4 cysteine endopeptidase) (Autophagy-related cysteine endopeptidase 4) (Autophagin-4) (Autophagy-related protein 4 homolog D) (HsAPG4D) [Cleaved into: Cysteine protease ATG4D, mitochondrial]	T-cell acute lymphocytic leukemia protein 1 (TAL-1) (Class A basic helix-loop-helix protein 17) (bHLHa17) (Stem cell protein) (T-cell leukemia/lymphoma protein 5)
ATP10D	ZNF618	Phospholipid-transporting ATPase VD (EC 7.6.2.1) (ATPase class V type 10D) (P4-ATPase flippase complex alpha subunit ATP10D)	Zinc finger protein 618
ATP1A1	ATP1B1	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1)	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)
ATP2B2	ATP2B2	Plasma membrane calcium-transporting ATPase 2 (PMCA2) (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 2) (Plasma membrane calcium pump isoform 2)	Plasma membrane calcium-transporting ATPase 2 (PMCA2) (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 2) (Plasma membrane calcium pump isoform 2)
ATP4A	ATP4B	Potassium-transporting ATPase alpha chain 1 (EC 7.2.2.19) (Gastric H(+)/K(+) ATPase subunit alpha) (Proton pump)	Potassium-transporting ATPase subunit beta (Gastric H(+)/K(+) ATPase subunit beta) (Proton pump beta chain)
ATP6V0E2	PCSK1N	V-type proton ATPase subunit e 2 (V-ATPase subunit e 2) (Lysosomal 9 kDa H(+)-transporting ATPase V0 subunit e2) (Vacuolar proton pump subunit e 2)	ProSAAS (Proprotein convertase subtilisin/kexin type 1 inhibitor) (Proprotein convertase 1 inhibitor) (pro-SAAS) [Cleaved into: KEP; Big SAAS (b-SAAS); Little SAAS (l-SAAS) (N-proSAAS); Big PEN-LEN (b-PEN-LEN) (SAAS CT(1-49)); PEN; Little LEN (l-LEN); Big LEN (b-LEN) (SAAS CT(25-40))]
ATP8A1	ZMYM2	Phospholipid-transporting ATPase IA (EC 7.6.2.1) (ATPase class I type 8A member 1) (Chromaffin granule ATPase II) (P4-ATPase flippase complex alpha subunit ATP8A1)	Zinc finger MYM-type protein 2 (Fused in myeloproliferative disorders protein) (Rearranged in atypical myeloproliferative disorder protein) (Zinc finger protein 198)
ATP8B1	TMEM30A	Phospholipid-transporting ATPase IC (EC 7.6.2.1) (ATPase class I type 8B member 1) (Familial intrahepatic cholestasis type 1) (P4-ATPase flippase complex alpha subunit ATP8B1)	Cell cycle control protein 50A (P4-ATPase flippase complex beta subunit TMEM30A) (Transmembrane protein 30A)
ATR	ATR	Serine/threonine-protein kinase ATR (EC 2.7.11.1) (Ataxia telangiectasia and Rad3-related protein) (FRAP-related protein 1)	Serine/threonine-protein kinase ATR (EC 2.7.11.1) (Ataxia telangiectasia and Rad3-related protein) (FRAP-related protein 1)
AURKA	NEK2	Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (Breast tumor-amplified kinase) (Ipl1- and aurora-related kinase 1) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase Ayk1) (Serine/threonine-protein kinase aurora-A)	Serine/threonine-protein kinase Nek2 (EC 2.7.11.1) (HSPK 21) (Never in mitosis A-related kinase 2) (NimA-related protein kinase 2) (NimA-like protein kinase 1)
AURKAIP1	MRPS34	Small ribosomal subunit protein mS38 (28S ribosomal protein S38, mitochondrial) (MRP-S38) (Aurora kinase A-interacting protein) (AURKA-interacting protein)	Small ribosomal subunit protein mS34 (28S ribosomal protein S34, mitochondrial) (MRP-S34) (S34mt)
AURKB	CDCA8	Aurora kinase B (EC 2.7.11.1) (Aurora 1) (Aurora- and IPL1-like midbody-associated protein 1) (AIM-1) (Aurora/IPL1-related kinase 2) (ARK-2) (Aurora-related kinase 2) (STK-1) (Serine/threonine-protein kinase 12) (Serine/threonine-protein kinase 5) (Serine/threonine-protein kinase aurora-B)	Borealin (Cell division cycle-associated protein 8) (Dasra-B) (hDasra-B) (Pluripotent embryonic stem cell-related gene 3 protein)
AXIN1	GSK3B	Axin-1 (Axis inhibition protein 1) (hAxin)	Glycogen synthase kinase-3 beta (GSK-3 beta) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3B) (EC 2.7.11.1)
AZGP1	FGL1	Zinc-alpha-2-glycoprotein (Zn-alpha-2-GP) (Zn-alpha-2-glycoprotein)	Fibrinogen-like protein 1 (HP-041) (Hepassocin) (HPS) (Hepatocyte-derived fibrinogen-related protein 1) (HFREP-1) (Liver fibrinogen-related protein 1) (LFIRE-1)
AZI2	IKBKE	5-azacytidine-induced protein 2 (NF-kappa-B-activating kinase-associated protein 1) (Nak-associated protein 1) (Nap1) (TILP)	Inhibitor of nuclear factor kappa-B kinase subunit epsilon (I-kappa-B kinase epsilon) (IKK-E) (IKK-epsilon) (IkBKE) (EC 2.7.11.10) (Inducible I kappa-B kinase) (IKK-i)
AZU1	ELANE	Azurocidin (Cationic antimicrobial protein CAP37) (Heparin-binding protein) (HBP) (hHBP)	Neutrophil elastase (EC 3.4.21.37) (Bone marrow serine protease) (Elastase-2) (Human leukocyte elastase) (HLE) (Medullasin) (PMN elastase)
B3GNT6	B3GNT6	Acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.147) (Core 3 synthase) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6) (BGnT-6) (Beta-1,3-Gn-T6) (Beta-1,3-N-acetylglucosaminyltransferase 6) (Beta3Gn-T6)	Acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.147) (Core 3 synthase) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6) (BGnT-6) (Beta-1,3-Gn-T6) (Beta-1,3-N-acetylglucosaminyltransferase 6) (Beta3Gn-T6)
B4GALNT3	KCNN1	Beta-1,4-N-acetylgalactosaminyltransferase 3 (B4GalNAcT3) (Beta4GalNAc-T3) (Beta4GalNAcT3) (EC 2.4.1.244) (Beta-1,4-N-acetylgalactosaminyltransferase III) (N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 2) (NGalNAc-T2)	Small conductance calcium-activated potassium channel protein 1 (SK1) (SKCa 1) (SKCa1) (hSK1) (KCa2.1)
B4GALT5	PPP4R1	Beta-1,4-galactosyltransferase 5 (Beta-1,4-GalTase 5) (Beta4Gal-T5) (b4Gal-T5) (EC 2.4.1.-) (Beta-1,4-GalT II) (Glucosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.274) (Lactosylceramide synthase) (LacCer synthase) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 5) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 5)	Serine/threonine-protein phosphatase 4 regulatory subunit 1
