Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
CFAP276	C1orf194	ENSG00000179902	"Cilia and flagella associated protein 276"	Q5T5A4	1	109105951-109113857	"Disease related genes, Predicted intracellular proteins"			"Charcot-Marie-Tooth disease, Disease variant, Neurodegeneration, Neuropathy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	29	"choroid plexus: 125.2;fallopian tube: 103.0;testis: 143.8"	"Cell type enhanced"	"Detected in some"		"Ciliated cells: 731.2;Early spermatids: 1773.4;Late spermatids: 3650.3;Spermatocytes: 411.8"	"Group enriched"	"Detected in many"	17	"choroid plexus epithelial cell: 48.8;ependymal cell: 156.9"	"Cancer enhanced"	"Detected in many"		"Uterine Corpus Endometrial Carcinoma (TCGA): 19.2"	"Region enriched"	"Detected in all"	5	"choroid plexus: 27.7"	"Immune cell enriched"	"Detected in single"	6	"eosinophil: 2.1"	"Lineage enriched"	"Detected in single"	16	"granulocytes: 2.1"	"Cancer enhanced"	"Detected in single"		"Bile duct cancer: 1.7"	"Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA049684	Enhanced		Approved	"Mid piece,Principal piece,End piece"			NA	NA			"Cluster 19: Eosinophils - Unknown function"	"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 42: Ciliated cells - Cilium assembly"		"Mid piece, Principal piece, End piece"		"HPA049684: AB_2680849"		"unprognostic (7.26e-2)"	"unprognostic (1.29e-1)"	"unprognostic (2.18e-3)"			"unprognostic (6.58e-2)"	"unprognostic (2.51e-2)"								"unprognostic (5.34e-3)"	"unprognostic (2.92e-2)"	"unprognostic (7.58e-2)"	"unprognostic (3.65e-1)"	"unprognostic (1.61e-1)"	"unprognostic (8.10e-3)"			"unprognostic (9.86e-2)"					"unprognostic (3.23e-1)"		"unprognostic (2.26e-1)"
CFAP298	"C21orf48, C21orf59, CILD26, DNAAF16, FBB18, FLJ20467, Kur"	ENSG00000159079	"Cilia and flagella associated protein 298"	P57076	21	32592079-32612603	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Ciliopathy, Kartagener syndrome, Primary ciliary dyskinesia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Ciliated cells: 250.8;Muller glia cells: 200.4;Spermatocytes: 235.4"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Lung - Respiratory ciliated cells, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA018453, HPA019055, HPA028849, CAB034170"	Enhanced		Supported	"Nucleoplasm,Microtubules,Primary cilium transition zone,Centrosome,Basal body,Cytosol,Principal piece"			NA	NA			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 10: Cerebellum - Nucleic acid binding"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 42: Ciliated cells - Cilium assembly"	11	"Basal body, Cytosol, Principal piece"	"Nucleoplasm, Microtubules, Primary cilium transition zone, Centrosome"	"CAB034170: AB_1564311, HPA018453: AB_1845700, HPA019055: AB_1845701, HPA028849: AB_10602111"	"unprognostic (8.69e-2)"	"unprognostic (7.76e-2)"		"unprognostic (1.83e-1)"	"unprognostic (5.60e-2)"	"unprognostic (1.05e-1)"	"unprognostic (2.91e-2)"	"unprognostic (2.15e-1)"	"unprognostic (3.51e-1)"	"unprognostic (7.20e-2)"	"unprognostic (8.54e-3)"	"unprognostic (8.47e-2)"	"unprognostic (1.07e-1)"	"potential prognostic unfavorable (3.95e-4)"		"unprognostic (8.86e-2)"	"unprognostic (1.72e-1)"	"unprognostic (4.40e-2)"	"unprognostic (3.34e-2)"	"unprognostic (1.22e-2)"	"unprognostic (4.53e-2)"	"unprognostic (2.71e-1)"	"unprognostic (6.98e-3)"	"unprognostic (1.77e-1)"	"unprognostic (2.80e-1)"	"unprognostic (3.60e-2)"	"unprognostic (9.77e-2)"	"unprognostic (1.96e-1)"	"unprognostic (8.94e-3)"	"unprognostic (2.69e-1)"	"unprognostic (1.46e-1)"
CFAP300	"C11orf70, DNAAF17, FBB5, MGC13040"	ENSG00000137691	"Cilia and flagella associated protein 300"	Q9BRQ4	11	102047437-102084554	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Ciliopathy, Disease variant, Kartagener syndrome, Primary ciliary dyskinesia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"choroid plexus: 23.6;fallopian tube: 28.2;testis: 29.3"	"Cell type enhanced"	"Detected in many"		"Ciliated cells: 206.1;Early spermatids: 522.3;Ionocytes: 82.5;Spermatocytes: 239.2"	"Group enriched"	"Detected in many"	4	"choroid plexus epithelial cell: 64.8;ependymal cell: 170.5"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Heart muscle - Fibroblasts, Lung - Respiratory ciliated cells, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA038585	Enhanced		Approved	"Primary cilium,Centrosome"			NA	NA				"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 30: Non-specific - Gene expression regulation"	"Cluster 42: Ciliated cells - Cilium assembly"		"Primary cilium, Centrosome"		"HPA038585: AB_10795357"	"unprognostic (2.67e-2)"	"unprognostic (5.31e-2)"		"unprognostic (1.58e-1)"	"unprognostic (3.00e-1)"	"unprognostic (5.53e-3)"	"unprognostic (1.13e-1)"	"unprognostic (1.02e-2)"	"unprognostic (1.66e-1)"	"unprognostic (9.81e-2)"	"potential prognostic unfavorable (1.43e-5)"	"unprognostic (1.44e-1)"	"unprognostic (3.10e-2)"			"unprognostic (8.70e-2)"	"unprognostic (1.06e-1)"	"unprognostic (2.11e-1)"	"unprognostic (2.26e-2)"	"unprognostic (1.52e-2)"	"unprognostic (3.34e-1)"	"unprognostic (7.62e-2)"	"unprognostic (4.16e-2)"	"unprognostic (6.62e-2)"	"unprognostic (8.22e-2)"	"unprognostic (2.28e-1)"		"unprognostic (8.91e-3)"	"unprognostic (4.40e-2)"	"unprognostic (6.30e-2)"	"unprognostic (4.70e-2)"
CFAP45	"CCDC19, NESG1"	ENSG00000213085	"Cilia and flagella associated protein 45"	Q9UL16	1	159872364-159900165	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Ciliopathy, Disease variant, Heterotaxy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	7	"choroid plexus: 36.2;fallopian tube: 43.3;testis: 27.6"	"Group enriched"	"Detected in many"	4	"Ciliated cells: 161.4;Early spermatids: 299.7;Late spermatids: 78.6"	"Cell type enriched"	"Detected in some"	5	"ependymal cell: 158.8"	"Cancer enhanced"	"Detected in many"		"Uterine Corpus Endometrial Carcinoma (TCGA): 19.4"	"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in some"	8	"eosinophil: 3.0;neutrophil: 2.4"	"Lineage enriched"	"Detected in single"	9	"granulocytes: 3.0"	"Cancer enhanced"	"Detected in many"		"Bile duct cancer: 7.3"	"Kidney - Podocytes, Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA042204, HPA043618"	Enhanced		Uncertain	"Nucleoplasm,Basal body,Cytosol,Mid piece,Principal piece,End piece"			NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 42: Ciliated cells - Cilium assembly"	1	"Nucleoplasm, Mid piece, Principal piece, End piece"	"Basal body, Cytosol"	"HPA042204: AB_10966555, HPA043618: AB_10959305"	"unprognostic (3.02e-2)"	"unprognostic (4.19e-2)"		"potential prognostic favorable (2.24e-4)"			"unprognostic (3.01e-2)"	"potential prognostic unfavorable (6.49e-5)"								"unprognostic (2.53e-1)"	"unprognostic (2.31e-1)"	"unprognostic (9.39e-2)"	"unprognostic (1.55e-1)"	"unprognostic (2.30e-1)"	"unprognostic (2.47e-3)"	"unprognostic (7.85e-2)"	"unprognostic (7.80e-3)"	"unprognostic (1.22e-1)"					"unprognostic (1.77e-1)"		"unprognostic (3.87e-2)"
CFAP52	"FLJ37528, WDR16, WDRPUH"	ENSG00000166596	"Cilia and flagella associated protein 52"	Q8N1V2	17	9576627-9643447	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Disease variant, Heterotaxy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"choroid plexus: 38.5;fallopian tube: 55.9"	"Cell type enhanced"	"Detected in some"		"Ciliated cells: 143.0;Early spermatids: 44.4;Ionocytes: 25.8;Spermatocytes: 26.8"	"Cell type enriched"	"Detected in many"	5	"ependymal cell: 591.8"	"Cancer enhanced"	"Detected in many"		"Glioblastoma Multiforme (TCGA): 4.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Lung - Respiratory ciliated cells, Testis - Early spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA023247	Enhanced		Approved	"Microtubules,Primary cilium,Centriolar satellite,Basal body"			NA	NA				"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 42: Ciliated cells - Cilium assembly"		Microtubules	"Primary cilium, Centriolar satellite, Basal body"	"HPA023247: AB_1858797"						"unprognostic (2.24e-2)"	"unprognostic (2.72e-1)"	"unprognostic (4.26e-2)"					"unprognostic (1.84e-2)"			"unprognostic (2.50e-2)"	"unprognostic (2.76e-1)"	"unprognostic (2.19e-1)"	"unprognostic (3.21e-1)"	"unprognostic (1.47e-1)"	"unprognostic (2.21e-3)"			"unprognostic (3.19e-1)"		"unprognostic (4.86e-2)"					"unprognostic (1.49e-2)"
CFAP54	"C12orf55, C12orf63, FLJ31514, FLJ44112"	ENSG00000188596	"Cilia and flagella associated protein 54"	Q96N23	12	96489571-96875555	"Predicted intracellular proteins, Predicted membrane proteins"	"Cilium biogenesis/degradation, Differentiation, Spermatogenesis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"choroid plexus: 6.7;retina: 5.8"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 25.7;Ciliated cells: 71.3;Early spermatids: 37.9;Excitatory neurons: 21.2;Oligodendrocytes: 44.5"	"Group enriched"	"Detected in all"	13	"choroid plexus epithelial cell: 1391.7;ependymal cell: 3403.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Lung - Respiratory ciliated cells, Minor Salivary Gland - Plasma cells, Testis - Early spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA039897	Enhanced		Approved	Microtubules,Cytosol			NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 17: Choroid plexus - Cilium"	"Cluster 56: Non-specific - Sensory perception"	"Cluster 42: Ciliated cells - Cilium assembly"		Microtubules	Cytosol	"HPA039897: AB_10674427"	"unprognostic (1.80e-1)"	"unprognostic (3.02e-2)"		"unprognostic (1.77e-1)"	"unprognostic (2.89e-3)"	"unprognostic (5.42e-3)"	"unprognostic (2.04e-1)"	"unprognostic (1.75e-1)"	"unprognostic (4.62e-2)"	"potential prognostic unfavorable (3.95e-4)"	"unprognostic (1.72e-2)"	"unprognostic (3.51e-3)"	"unprognostic (1.45e-1)"	"unprognostic (2.70e-2)"		"unprognostic (5.23e-2)"	"unprognostic (1.74e-1)"	"unprognostic (3.59e-2)"	"unprognostic (4.53e-3)"	"unprognostic (2.64e-1)"	"unprognostic (6.34e-3)"	"unprognostic (4.84e-2)"	"unprognostic (6.42e-3)"	"unprognostic (3.95e-2)"	"unprognostic (7.91e-2)"	"unprognostic (3.29e-3)"	"unprognostic (2.51e-2)"	"unprognostic (1.89e-1)"	"unprognostic (3.66e-1)"	"unprognostic (4.30e-2)"	"unprognostic (2.32e-1)"
CFAP57	"FLJ32000, WDR65"	ENSG00000243710	"Cilia and flagella associated protein 57"	Q96MR6	1	43172330-43254358	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	6	"choroid plexus: 13.6;fallopian tube: 22.7;testis: 15.3"	"Group enriched"	"Detected in some"	6	"Ciliated cells: 71.9;Early spermatids: 49.7;Late spermatids: 22.4;Spermatocytes: 21.7"	"Group enriched"	"Detected in many"	6	"choroid plexus epithelial cell: 42.1;ependymal cell: 126.2"	"Cancer enhanced"	"Detected in some"		"Uterine Corpus Endometrial Carcinoma (TCGA): 3.9"	"Region enhanced"	"Detected in all"		"choroid plexus: 23.2"	"Immune cell enhanced"	"Detected in single"		"non-classical monocyte: 1.2"	"Low lineage specificity"	"Detected in single"			"Cancer enhanced"	"Detected in some"		"Adrenocortical cancer: 4.1;lymphoma: 3.7"	"Liver - Hepatocytes, Lung - Respiratory ciliated cells, Testis - Early spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"HPA002736, HPA028623, HPA028629"	Enhanced		Supported	"Primary cilium,Cytosol"			NA	NA				"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 59: Leukemia - T-cell receptor"	"Cluster 42: Ciliated cells - Cilium assembly"		"Primary cilium, Cytosol"		"HPA002736: AB_2272982, HPA028623: AB_10603234, HPA028629: "		"unprognostic (4.05e-2)"						"unprognostic (5.44e-2)"				"unprognostic (1.67e-2)"	"unprognostic (6.75e-3)"	"unprognostic (2.22e-3)"		"unprognostic (5.19e-2)"	"unprognostic (5.22e-2)"		"unprognostic (2.14e-1)"	"unprognostic (1.91e-1)"	"unprognostic (1.01e-2)"										"unprognostic (5.67e-3)"
CFAP70	"FLJ25765, TTC18"	ENSG00000156042	"Cilia and flagella associated protein 70"		10	73253762-73358864	"Human disease related genes, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"			"Tissue enhanced"	"Detected in many"		"choroid plexus: 58.6"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 65.0;Ciliated cells: 145.1;Early spermatids: 65.3;Late spermatids: 40.9;Spermatocytes: 53.7"	"Group enriched"	"Detected in all"	4	"choroid plexus epithelial cell: 423.7;ependymal cell: 1161.9"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"prostate cancer: 3.6"	"Lung - Respiratory ciliated cells, Testis - Early spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA037582, HPA070304"	Enhanced		Approved	"Centrosome,Basal body,Cytosol,Mid piece,Principal piece,End piece"			NA	NA				"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 42: Ciliated cells - Cilium assembly"		"Centrosome, Basal body, Cytosol"	"Mid piece, Principal piece, End piece"	"HPA037582: AB_2675560, HPA070304: AB_2732153"	"unprognostic (9.47e-3)"	"unprognostic (1.51e-1)"		"unprognostic (2.64e-2)"			"unprognostic (1.94e-1)"	"unprognostic (2.09e-1)"			"unprognostic (1.52e-1)"	"unprognostic (8.70e-3)"	"unprognostic (1.20e-3)"			"unprognostic (2.81e-2)"	"unprognostic (2.61e-1)"	"unprognostic (2.18e-1)"	"unprognostic (3.85e-1)"	"unprognostic (1.46e-2)"	"unprognostic (2.07e-2)"	"unprognostic (7.95e-3)"	"unprognostic (5.88e-3)"	"unprognostic (2.46e-3)"					"unprognostic (1.36e-1)"	"unprognostic (2.91e-2)"	"unprognostic (1.10e-1)"
CFAP73	"CCDC42B, MIA2"	ENSG00000186710	"Cilia and flagella associated protein 73"	A6NFT4	12	113149724-113159276	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"choroid plexus: 30.5;fallopian tube: 41.0"	"Cell type enriched"	"Detected in some"	9	"Ciliated cells: 148.7"	"Cell type enriched"	"Detected in many"	8	"ependymal cell: 549.1"	"Cancer enriched"	"Detected in many"	5	"Uterine Corpus Endometrial Carcinoma (TCGA): 20.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bile duct cancer: 4.1"	"Breast - Breast glandular cells (progenitors), Lung - Respiratory ciliated cells, Minor Salivary Gland - Minor salivary glandular cells, Stomach - Gastric mucous cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA048539	Enhanced		Approved	"Nucleoplasm,Nucleoli fibrillar center,Vesicles"			NA	NA				"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 6: Leukemia - Signal transduction"	"Cluster 42: Ciliated cells - Cilium assembly"		"Nucleoli fibrillar center"	"Nucleoplasm, Vesicles"	"HPA048539: AB_2680434"				"potential prognostic favorable (7.65e-5)"		"unprognostic (1.06e-1)"	"unprognostic (2.32e-2)"	"unprognostic (4.40e-3)"								"unprognostic (2.19e-1)"	"unprognostic (1.86e-1)"	"unprognostic (2.26e-2)"		"unprognostic (1.09e-1)"	"unprognostic (7.71e-3)"	"unprognostic (8.96e-2)"	"unprognostic (1.57e-2)"	"unprognostic (2.73e-2)"		"unprognostic (1.86e-1)"		"potential prognostic favorable (3.29e-5)"	"unprognostic (5.27e-2)"		"unprognostic (4.65e-2)"
CFAP74	"C1orf222, FLJ45476, KIAA1751"	ENSG00000142609	"Cilia and flagella associated protein 74"	Q9C0B2	1	1921951-2003837	"Human disease related genes, Predicted intracellular proteins"			"Ciliopathy, Disease variant, Primary ciliary dyskinesia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"fallopian tube: 6.7;testis: 4.9"	"Cell type enhanced"	"Detected in some"		"Ciliated cells: 52.3;Early spermatids: 13.3;Excitatory neurons: 11.2;Late spermatids: 19.5;Spermatocytes: 14.5;Spermatogonia: 11.5"	"Cell type enhanced"	"Detected in many"		"ependymal cell: 106.9"	"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Lung - Respiratory ciliated cells, Prostate - Prostate glandular cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"HPA028521, HPA029274, HPA030240"	Enhanced						NA	NA				"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 17: Choroid plexus - Cilium"	"Cluster 56: Non-specific - Sensory perception"	"Cluster 42: Ciliated cells - Cilium assembly"	1			"HPA028521: AB_10601881, HPA029274: AB_10601997, HPA030240: AB_2732455"						"unprognostic (3.23e-1)"										"unprognostic (1.16e-1)"	"unprognostic (8.97e-3)"		"potential prognostic favorable (5.17e-4)"				"unprognostic (2.39e-2)"			"unprognostic (6.01e-2)"		"unprognostic (4.46e-2)"			"unprognostic (3.23e-1)"
CFL2	NEM7	ENSG00000165410	"Cofilin 2"	Q9Y281	14	34709113-34714823	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		Actin-binding	"Disease variant, Nemaline myopathy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	5	"heart muscle: 359.5;skeletal muscle: 694.9;tongue: 659.5"	"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 724.9;Skeletal myocytes: 282.0"	"Cell type enhanced"	"Detected in all"		"oligodendrocyte: 126.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Colon - Smooth muscle cells, Liver - Hepatocytes, Prostate - Smooth muscle cells, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB037078, HPA045599, HPA077782"	Enhanced		Approved	"Nucleoplasm,Plasma membrane,Cytosol"			NA	NA		35000000	"Cluster 24: Non-specific - Transcription"	"Cluster 12: Heart muscle - Cardiac muscle contraction"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 30: Non-specific - Gene expression regulation"	"Cluster 68: Cardiomyocytes - Muscle contraction"	28	"Plasma membrane"	"Nucleoplasm, Cytosol"	"CAB037078: AB_259128, HPA045599: AB_2679383, HPA077782: "	"unprognostic (4.12e-2)"	"unprognostic (1.04e-1)"	"unprognostic (1.23e-1)"	"unprognostic (2.55e-2)"	"unprognostic (2.36e-1)"	"unprognostic (4.16e-2)"	"unprognostic (7.10e-3)"	"unprognostic (2.27e-1)"	"unprognostic (4.52e-3)"	"potential prognostic unfavorable (1.03e-5)"	"potential prognostic favorable (9.97e-6)"	"unprognostic (5.05e-2)"	"unprognostic (3.76e-1)"	"unprognostic (1.54e-1)"	"unprognostic (5.94e-2)"	"unprognostic (9.00e-2)"	"unprognostic (7.80e-2)"	"unprognostic (4.16e-2)"	"unprognostic (3.89e-3)"	"unprognostic (1.70e-1)"	"unprognostic (6.99e-2)"	"unprognostic (4.22e-2)"	"unprognostic (4.88e-2)"	"unprognostic (8.14e-2)"	"unprognostic (4.20e-2)"	"unprognostic (3.74e-2)"	"unprognostic (6.70e-2)"	"potential prognostic unfavorable (5.12e-5)"	"unprognostic (1.50e-1)"	"unprognostic (2.63e-3)"	"unprognostic (3.54e-2)"
